         637770 function calls (617981 primitive calls) in 0.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      644    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
      265    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
        2    0.000    0.000    0.007    0.004 client.py:500(_get_client_args)
        2    0.000    0.000    0.007    0.004 args.py:86(get_client_args)
   198/99    0.001    0.000    0.007    0.000 copy.py:217(_deepcopy_dict)
      736    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
    34574    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.007    0.007 series.py:1(<module>)
      928    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
      258    0.002    0.000    0.006    0.000 inspect.py:2393(_signature_from_function)
       58    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.006    0.006 shape_base.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
        3    0.000    0.000    0.006    0.002 datetimes.py:1(<module>)
      846    0.001    0.000    0.006    0.000 loaders.py:157(exists)
        1    0.000    0.000    0.006    0.006 credentials.py:1(<module>)
      744    0.002    0.000    0.006    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.006    0.006 take.py:1(<module>)
      568    0.003    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
     2562    0.003    0.000    0.005    0.000 <frozen posixpath>:71(join)
     1565    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.005    0.005 frame.py:509(DataFrame)
        2    0.000    0.000    0.005    0.003 construction.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _json.py:1(<module>)
       98    0.001    0.000    0.005    0.000 docscrape.py:228(_parse_param_list)
     2703    0.002    0.000    0.005    0.000 typing.py:1215(__setattr__)
     1711    0.001    0.000    0.005    0.000 <frozen genericpath>:27(isfile)
      140    0.000    0.000    0.005    0.000 hooks.py:143(_verify_and_register)
        1    0.000    0.000    0.005    0.005 describe.py:1(<module>)
      133    0.000    0.000    0.005    0.000 hooks.py:84(register)
    32263    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 docstringparser.py:1(<module>)
       25    0.001    0.000    0.005    0.000 typing.py:2809(__new__)
     1040    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      422    0.001    0.000    0.005    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ewm.py:1(<module>)
       13    0.001    0.000    0.005    0.000 enum.py:919(_convert_)
        1    0.000    0.000    0.005    0.005 generic.py:244(NDFrame)
     1132    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      140    0.000    0.000    0.004    0.000 hooks.py:175(_verify_accept_kwargs)
        2    0.000    0.000    0.004    0.002 format.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
      140    0.000    0.000    0.004    0.000 compat.py:72(accepts_kwargs)
      140    0.001    0.000    0.004    0.000 inspect.py:1358(getfullargspec)
       82    0.000    0.000    0.004    0.000 typing.py:521(__getitem__)
     1565    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
       26    0.000    0.000    0.004    0.000 typing.py:2790(_make_nmtuple)
    16783    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.004    0.004 __init__.py:336(Version)
      537    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
       80    0.000    0.000    0.004    0.000 typing.py:753(Literal)
       20    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
    45/12    0.000    0.000    0.004    0.000 typing.py:1294(__getitem__)
34564/33032    0.004    0.000    0.004    0.000 {built-in method builtins.len}
     1565    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1807    0.002    0.000    0.004    0.000 inspect.py:2739(__init__)
        1    0.000    0.000    0.004    0.004 factory.py:1(<module>)
      230    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
     1288    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3335    0.002    0.000    0.004    0.000 typing.py:1161(_is_dunder)
        6    0.000    0.000    0.004    0.001 common.py:1(<module>)
      664    0.000    0.000    0.004    0.000 typing.py:730(<genexpr>)
      146    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
      736    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        2    0.000    0.000    0.003    0.002 dtypes.py:1(<module>)
        2    0.000    0.000    0.003    0.002 interval.py:1(<module>)
        1    0.000    0.000    0.003    0.003 readers.py:1(<module>)
      393    0.000    0.000    0.003    0.000 typing.py:1174(__init__)
     1475    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.003    0.003 docscrape.py:1(<module>)
     9214    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
       40    0.000    0.000    0.003    0.000 enum.py:528(__new__)
      576    0.002    0.000    0.003    0.000 typing.py:1636(__hash__)
        3    0.000    0.000    0.003    0.001 accessor.py:1(<module>)
       58    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.003    0.003 string_.py:1(<module>)
     9236    0.002    0.000    0.003    0.000 _parser.py:261(get)
        2    0.000    0.000    0.003    0.002 gzip.py:319(read)
        1    0.000    0.000    0.003    0.003 _pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _compression.py:113(readall)
     9986    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
      192    0.000    0.000    0.003    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
       90    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.003    0.003 _constants.py:1(<module>)
       98    0.000    0.000    0.003    0.000 docscrape.py:362(_parse_summary)
        5    0.000    0.000    0.003    0.001 gzip.py:502(read)
        2    0.000    0.000    0.003    0.001 pickle.py:1(<module>)
      791    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      311    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
        2    0.000    0.000    0.003    0.001 session.py:503(get_credentials)
      137    0.001    0.000    0.003    0.000 _compiler.py:511(_compile_info)
      871    0.000    0.000    0.003    0.000 <frozen genericpath>:39(isdir)
      637    0.002    0.000    0.003    0.000 inspect.py:3025(__init__)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cElementTree.py:1(<module>)
    16079    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
    45/12    0.000    0.000    0.003    0.000 typing.py:1326(_determine_new_args)
      736    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        2    0.000    0.000    0.003    0.001 abc.py:1(<module>)
    45/12    0.000    0.000    0.003    0.000 typing.py:1355(_make_substitution)
      311    0.000    0.000    0.003    0.000 docscrape.py:558(dedent_lines)
      509    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     6325    0.003    0.000    0.003    0.000 {method 'index' of 'list' objects}
    15402    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      644    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      742    0.001    0.000    0.003    0.000 {built-in method fromkeys}
        3    0.000    0.000    0.002    0.001 ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 masked.py:1(<module>)
        1    0.000    0.000    0.002    0.002 session.py:191(_create_credential_resolver)
        1    0.000    0.000    0.002    0.002 credentials.py:65(create_credential_resolver)
        2    0.000    0.000    0.002    0.001 args.py:612(_build_endpoint_resolver)
 1062/204    0.001    0.000    0.002    0.000 copy.py:61(copy)
      272    0.000    0.000    0.002    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.002    0.002 series.py:263(Series)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       19    0.000    0.000    0.002    0.000 _decorators.py:294(decorate)
      439    0.001    0.000    0.002    0.000 docscrape.py:74(read_to_condition)
        2    0.000    0.000    0.002    0.001 datetimelike.py:1(<module>)
 1424/302    0.002    0.000    0.002    0.000 _parser.py:178(getwidth)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 manager.py:1(<module>)
      862    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
     1546    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 regions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 groupby.py:1(<module>)
        3    0.002    0.001    0.002    0.001 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
        2    0.000    0.000    0.002    0.001 client.py:539(_create_methods)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1(<module>)
     5419    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.002    0.001 hooks.py:500(__copy__)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
        2    0.000    0.000    0.002    0.001 hooks.py:393(__copy__)
      196    0.000    0.000    0.002    0.000 docscrape.py:216(_read_sections)
        2    0.000    0.000    0.002    0.001 hooks.py:638(__copy__)
    722/2    0.001    0.000    0.002    0.001 hooks.py:648(_recursive_copy)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
     9008    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.002    0.002 testing.py:1(<module>)
     2116    0.001    0.000    0.002    0.000 enum.py:726(__call__)
   158/58    0.000    0.000    0.002    0.000 configprovider.py:469(get_config_variable)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
        2    0.000    0.000    0.002    0.001 regions.py:463(__init__)
